"id","url_id","company_id","region_id","name","locality","street_address","suite","city","county","state_code","zip","country","store_number","phone","orders_count","audits_count","latitude","longitude","active","created_at","updated_at"
"1","_NA_","31","0","Kroger","_NA_","7467 Saint Andrews Rd Ste","_NA_","Irmo","_NA_","SC","29063","US","_NA_","_NA_","0","3","34.087100983","-81.18430328","1","2014-12-25 04:09:38","2016-07-20 00:01:29"
"2","_NA_","31","0","Kroger","_NA_","3403 Forest Drive","_NA_","Columbia","_NA_","SC","29204","US","_NA_","_NA_","0","0","34.019901276","-80.99120331","1","2014-12-10 02:52:48","2016-07-20 00:01:29"
"3","_NA_","31","0","Kroger","_NA_","9610 N Kings Hwy","_NA_","Myrtle Beach","_NA_","SC","29572","US","16","_NA_","0","2","33.777000427","-78.79309845","1","2016-05-12 15:40:57","2016-07-20 00:01:29"
"4","_NA_","31","0","Kroger","_NA_","781 Main St","_NA_","North Myrtle Beach","_NA_","SC","29582","US","","_NA_","0","1","33.826400757","-78.67960358","1","2016-05-12 15:00:22","2016-07-20 00:01:29"
"5","_NA_","31","0","Kroger","_NA_","2939 S Highway 17","_NA_","Murrells Inlet","_NA_","SC","29576","US","25","_NA_","0","1","33.58380127","-79.01260376","1","2015-05-06 17:42:56","2016-07-20 00:01:29"
"6","_NA_","31","0","Kroger","_NA_","3735 Renee Dr","_NA_","Myrtle Beach","_NA_","SC","29579","US","26","_NA_","0","2","33.76089859","-78.96640015","1","2016-05-12 16:29:09","2016-07-20 00:01:29"
"7","_NA_","31","0","Kroger","_NA_","3300 Cobb Pkwy, Se, Suite","_NA_","Atlanta","_NA_","GA","30339","US","_NA_","_NA_","0","0","33.872600555","-84.45770264","1","2014-12-10 02:52:50","2016-07-20 00:01:29"
"8","_NA_","31","0","Kroger","_NA_","4498 Chamblee Dunwoody Rd","_NA_","Dunwoody","_NA_","GA","30338","US","_NA_","_NA_","0","0","33.922599792","-84.31569672","1","2014-12-10 02:52:50","2016-07-20 00:01:29"
"9","_NA_","31","0","Kroger","_NA_","3959 Lavista Rd Ste A","_NA_","Tucker","_NA_","GA","30084","US","_NA_","_NA_","0","0","33.84349823","-84.25559998","1","2014-12-10 02:52:50","2016-07-20 00:01:29"
"10","_NA_","31","0","Kroger","_NA_","3139 U.s. Highway 278 N.e","_NA_","Covington","_NA_","GA","30014","US","_NA_","_NA_","0","0","33.604400635","-83.85890198","1","2014-12-10 02:52:51","2016-07-20 00:01:29"
"11","_NA_","31","0","Kroger","_NA_","3855 Buford Hwy Ne","_NA_","Atlanta","_NA_","GA","30329","US","_NA_","_NA_","0","0","33.855499268","-84.31340027","1","2014-12-10 02:52:51","2016-07-20 00:01:29"
"12","_NA_","31","0","Kroger","_NA_","2626 Rainbow Way","_NA_","Decatur","_NA_","GA","30034","US","427","_NA_","0","1","33.711898804","-84.27069855","1","2015-01-28 19:37:56","2016-07-20 00:01:29"
"13","_NA_","31","0","Kroger","_NA_","3128 Deans Bridge Rd","_NA_","Augusta","_NA_","GA","30906","US","","_NA_","0","1","33.423900604","-82.05480194","1","2016-04-13 19:23:48","2016-07-20 00:01:29"
"14","_NA_","31","0","Kroger","_NA_","3435 Wrightsboro Rd","_NA_","Augusta","_NA_","GA","30909","US","","_NA_","0","1","33.46900177","-82.08139801","1","2016-04-13 15:32:09","2016-07-20 00:01:29"
"15","_NA_","31","0","Kroger","_NA_","4550 Jonesboro Rd","_NA_","Union City","_NA_","GA","30291","US","_NA_","_NA_","0","0","33.565799713","-84.53690338","1","2014-12-10 02:52:53","2016-07-20 00:01:29"
"16","_NA_","31","0","Kroger","_NA_","2301 College Station Rd","_NA_","Athens","_NA_","GA","30605","US","_NA_","_NA_","0","0","33.921699524","-83.34380341","1","2014-12-10 02:52:54","2016-07-20 00:01:29"
"17","_NA_","31","0","Kroger","_NA_","115 Russell Pkwy","_NA_","Warner Robins","_NA_","GA","31088","US","_NA_","_NA_","0","0","32.592300415","-83.62560272","1","2014-12-10 02:52:54","2016-07-20 00:01:29"
"18","_NA_","31","0","Kroger","_NA_","3330 Piedmont Rd Ne","_NA_","Atlanta","_NA_","GA","30305","US","","_NA_","0","1","33.846099854","-84.373703","1","2016-03-15 19:26:47","2016-07-20 00:01:29"
"19","_NA_","31","0","Kroger","_NA_","300 N Dean Rd","_NA_","Auburn","_NA_","AL","36830","US","_NA_","_NA_","0","0","32.610801697","-85.46330261","1","2014-12-10 02:52:55","2016-07-20 00:01:29"
